"Test"," X"," Y"," Max Load"," Max Depth"," Hardness(GPa)"," Hardness(HV)"," Modulus"," Martens"
"Test 48","1.228065127447","-3.9971722543582","99.613092225093","607.05812503473","25.682610806216","2426.8783081334","170.20076762267","10.223377997157"
"Test 49","2.2284818478574","-3.9971623324437","99.563478822369","515.10804709552","44.712340009471","4225.0925691949","230.79290719588","14.191945766545"
"Test 50","3.228362784883","-3.9971722543582","99.765737112608","814.13800553208","12.667967232002","1197.059563588","94.962031324207","5.6927735294621"
"Test 51","4.2280452836179","-3.9971722543582","99.867114841522","726.14802024531","11.964089813684","1130.5466669441","170.98507158005","7.1632603703873"
"Test 52","5.2280849712761","-3.9971722543582","99.730445960397","1686.9873181874","1.7551539892959","165.85327621852","51.26644102217","1.3253869026021"
"Test 53","-3.7713097919374","-4.9971226447855","99.74619895945","2143.6977925923","1.3314608396219","125.81639204007","17.964464808809","0.82093313003111"
"Test 54","-2.7710617440741","-4.9971325667001","99.690430183245","1619.4509124976","2.1576978064985","203.89165422507","37.36466457769","1.4376608361911"
"Test 55","-1.7714784644845","-4.9971325667001","99.740417631551","1180.7966822115","4.2811940404714","404.55143085434","64.605732968163","2.7055744132782"
"Test 56","-0.77128994810839","-4.9971424886146","99.858900119585","1367.9164225085","3.3171245269353","313.45168217275","44.273044237232","2.0183951802816"
"Test 57","0.22897794358399","-4.9971424886146","99.828624776598","870.83910147953","8.0404124268454","759.77877227475","120.35643011626","4.9787210660025"
"Test 58","1.228829114866","-4.9971424886146","99.69197961623","1612.8267115391","2.0688527586164","195.49624142546","43.050271044493","1.4495171364551"
"Test 59","2.2288390367805","-4.9971424886146","99.758301867464","1579.1896559278","2.2311219725327","210.82987079448","41.140619694743","1.5129306309983"
"Test 60*","3.2286207546608","-4.9971424886146","99.75213850637","354.90626718223","98.731356535996","9329.6195358689","637.11551401932","29.952524160855"
"Test 61","4.2285413793446","-4.9971424886146","99.415200570086","1556.3406980579","2.5442005089115","240.41422708959","33.876101217587","1.5523226472272"
"Test 62","5.2289878654985","-4.9971424886146","99.49651861205","1198.3588551727","3.8182815521856","360.80851527378","75.79780749649","2.6204305586385"
"Test 63","-3.7706450236638","-5.9970631132983","99.663844950007","730.80344224859","18.839817282797","1780.2685341379","108.79951373786","7.0578921618633"
"Test 64","-2.7711212755613","-5.997112722871","99.710063300098","2602.2992028555","0.77435785783216","73.17294577585","17.471436952918","0.55688187597931"
"Test 65","-1.7715280740572","-5.9971226447855","99.773983381538","1317.2946558961","3.3552874896111","317.0578913308","54.047329137126","2.1746531618788"
"Test 66","-0.77135940151011","-5.997112722871","99.715931200662","774.95749616644","12.554287262957","1186.3173749131","115.72146051911","6.2798219626246"
"Test 67","0.2289184120968","-5.997112722871","99.632374855745","863.16350842137","10.864167613815","1026.6095186675","85.723870338975","5.0576979386435"
"Test 68","1.2287497395497","-5.997112722871","99.441953784969","1212.9949812969","4.7299162156238","446.95343279537","47.897159263046","2.556172684957"
"Test 69","2.2287497395497","-5.9971226447855","99.567223150973","570.29024434153","31.771559699109","3002.2535337673","189.06212440906","11.578786859123"
"Test 70","3.2285612231736","-5.9971226447855","99.78441567094","618.83991709888","17.069051485149","1612.9400200892","234.78554224639","9.8547277113012"
"Test 71","4.2284719259428","-5.9971226447855","99.572332552295","1301.3236713502","3.4421557348476","325.26650616442","54.956494260337","2.2238555306692"
"Test 72*","5.2289481778404","-5.9971226447855","99.402284621245","377.70027110675","91.712811086646","8666.4020836327","515.95102837328","26.35362259683"
"Test 73","-3.77072439898","-6.9966265490589","99.515394197842","995.66191702259","6.7835841274427","641.0147821227","76.057875319302","3.7966890044245"
